#
#	shift-jis conversion table
#

8140	817e
8180	81ac
81b8	81bf
81c8	81ce
81da	81e8
81f0	81f7
81fc	81fc
824f	8258
8260	8279
8281	829a
829f	82f1
8340	837e
8380	8396
839f	83b6
83bf	83d6
8440	8460
8470	847e
8480	8491
849f	84be

8740	875d
875f	8775
877e	877e
8780	879c

889f	88fc
8940	897e
8980	89fc
8a40	8a7e
8a80	8afc
8b40	8b7e
8b80	8bfc
8c40	8c7e
8c80	8cfc
8d40	8d7e
8d80	8dfc
8e40	8e7e
8e80	8efc
8f40	8f7e
8f80	8ffc
9040	907e
9080	90fc
9140	917e
9180	91fc
9240	927e
9280	92fc
9340	937e
9380	93fc
9440	947e
9480	94fc
9540	957e
9580	95fc
9640	967e
9680	96fc
9740	977e
9780	97fc
9840	9872
989f	98fc
9940	997e
9980	99fc
9a40	9a7e
9a80	9afc
9b40	9b7e
9b80	9bfc
9c40	9c7e
9c80	9cfc
9d40	9d7e
9d80	9dfc
9e40	9e7e
9e80	9efc
9f40	9f7e
9f80	9ffc

e040	e07e
e080	e0fc
e140	e17e
e180	e1fc
e240	e27e
e280	e2fc
e340	e37e
e380	e3fc
e440	e47e
e480	e4fc
e540	e57e
e580	e5fc
e640	e67e
e680	e6fc
e740	e77e
e780	e7fc
e840	e87e
e880	e8fc
e940	e97e
e980	e9fc
ea40	ea7e


# changed. sjis idx 
# added. canaan font idx

ea80	eab2
eb9f	ebc4
ebd8	ebe4
